"","X","Country","Region","Freedom","Year","Rank","Score","GDP","Life.Expectancy","Corruption"
"1",1,"Switzerland","Western Europe",0.66557,2015,1,7.587,1.39651,0.94143,0.41978
"2",2,"Iceland","Western Europe",0.62877,2015,2,7.561,1.30232,0.94784,0.14145
"3",3,"Denmark","Western Europe",0.64938,2015,3,7.527,1.32548,0.87464,0.48357
"4",4,"Norway","Western Europe",0.66973,2015,4,7.522,1.459,0.88521,0.36503
"5",5,"Canada","North America",0.63297,2015,5,7.427,1.32629,0.90563,0.32957
"6",6,"Finland","Western Europe",0.64169,2015,6,7.406,1.29025,0.88911,0.41372
"7",7,"Netherlands","Western Europe",0.61576,2015,7,7.378,1.32944,0.89284,0.31814
"8",8,"Sweden","Western Europe",0.6598,2015,8,7.364,1.33171,0.91087,0.43844
"9",9,"New Zealand","Australia and New Zealand",0.63938,2015,9,7.286,1.25018,0.90837,0.42922
"10",10,"Australia","Australia and New Zealand",0.65124,2015,10,7.284,1.33358,0.93156,0.35637
"11",11,"Israel","Middle East and Northern Africa",0.41319,2015,11,7.278,1.22857,0.91387,0.07785
"12",12,"Costa Rica","Latin America and Caribbean",0.63376,2015,12,7.226,0.95578,0.86027,0.10583
"13",13,"Austria","Western Europe",0.62433,2015,13,7.2,1.33723,0.89042,0.18676
"14",14,"Mexico","Latin America and Caribbean",0.48181,2015,14,7.187,1.02054,0.81444,0.21312
"15",15,"United States","North America",0.54604,2015,15,7.119,1.39451,0.86179,0.1589
"16",16,"Brazil","Latin America and Caribbean",0.49049,2015,16,6.983,0.98124,0.69702,0.17521
"17",17,"Luxembourg","Western Europe",0.61583,2015,17,6.946,1.56391,0.91894,0.37798
"18",18,"Ireland","Western Europe",0.61777,2015,18,6.94,1.33596,0.89533,0.28703
"19",19,"Belgium","Western Europe",0.5845,2015,19,6.937,1.30782,0.89667,0.2254
"20",20,"United Arab Emirates","Middle East and Northern Africa",0.64157,2015,20,6.901,1.42727,0.80925,0.38583
"21",21,"United Kingdom","Western Europe",0.59625,2015,21,6.867,1.26637,0.90943,0.32067
"22",22,"Oman","Middle East and Northern Africa",0.63274,2015,22,6.853,1.36011,0.76276,0.32524
"23",23,"Venezuela","Latin America and Caribbean",0.42908,2015,23,6.81,1.04424,0.72052,0.11069
"24",24,"Singapore","Southeastern Asia",0.54252,2015,24,6.798,1.52186,1.02525,0.4921
"25",25,"Panama","Latin America and Caribbean",0.5421,2015,25,6.786,1.06353,0.79661,0.0927
"26",26,"Germany","Western Europe",0.61477,2015,26,6.75,1.32792,0.89186,0.21843
"27",27,"Chile","Latin America and Caribbean",0.44132,2015,27,6.67,1.10715,0.85857,0.12869
"28",28,"Qatar","Middle East and Northern Africa",0.6404,2015,28,6.611,1.69042,0.79733,0.52208
"29",29,"France","Western Europe",0.55011,2015,29,6.575,1.27778,0.94579,0.20646
"30",30,"Argentina","Latin America and Caribbean",0.44974,2015,30,6.574,1.05351,0.78723,0.08484
"31",31,"Czech Republic","Central and Eastern Europe",0.46364,2015,31,6.505,1.17898,0.84483,0.02652
"32",32,"Uruguay","Latin America and Caribbean",0.60362,2015,32,6.485,1.06166,0.8116,0.24558
"33",33,"Colombia","Latin America and Caribbean",0.53466,2015,33,6.477,0.91861,0.69077,0.0512
"34",34,"Thailand","Southeastern Asia",0.55664,2015,34,6.455,0.9669,0.7385,0.03187
"35",35,"Saudi Arabia","Middle East and Northern Africa",0.31048,2015,35,6.411,1.39541,0.72025,0.32524
"36",36,"Spain","Western Europe",0.45951,2015,36,6.329,1.23011,0.95562,0.06398
"37",37,"Malta","Western Europe",0.60365,2015,37,6.302,1.2074,0.88721,0.13586
"38",38,"Taiwan","Eastern Asia",0.3974,2015,38,6.298,1.29098,0.8753,0.08129
"39",39,"Kuwait","Middle East and Northern Africa",0.55499,2015,39,6.295,1.55422,0.72492,0.25609
"40",40,"Suriname","Latin America and Caribbean",0.59657,2015,40,6.269,0.99534,0.6082,0.13633
"41",41,"Trinidad and Tobago","Latin America and Caribbean",0.55884,2015,41,6.168,1.21183,0.61483,0.0114
"42",42,"El Salvador","Latin America and Caribbean",0.4035,2015,42,6.13,0.76454,0.67737,0.11776
