"","X","Score","Year","Country","Rank","GDP","Life.Expectancy","Freedom","Corruption"
"1",1,7.632,2018,"Finland",1,1.305,0.874,0.681,"0.393"
"2",2,7.594,2018,"Norway",2,1.456,0.861,0.686,"0.340"
"3",3,7.555,2018,"Denmark",3,1.351,0.868,0.683,"0.408"
"4",4,7.495,2018,"Iceland",4,1.343,0.914,0.677,"0.138"
"5",5,7.487,2018,"Switzerland",5,1.42,0.927,0.66,"0.357"
"6",6,7.441,2018,"Netherlands",6,1.361,0.878,0.638,"0.295"
"7",7,7.328,2018,"Canada",7,1.33,0.896,0.653,"0.291"
"8",8,7.324,2018,"New Zealand",8,1.268,0.876,0.669,"0.389"
"9",9,7.314,2018,"Sweden",9,1.355,0.913,0.659,"0.383"
"10",10,7.272,2018,"Australia",10,1.34,0.91,0.647,"0.302"
"11",11,7.19,2018,"United Kingdom",11,1.244,0.888,0.464,"0.082"
"12",12,7.139,2018,"Austria",12,1.341,0.891,0.617,"0.224"
"13",13,7.072,2018,"Costa Rica",13,1.01,0.817,0.632,"0.101"
"14",14,6.977,2018,"Ireland",14,1.448,0.876,0.614,"0.306"
"15",15,6.965,2018,"Germany",15,1.34,0.861,0.586,"0.280"
"16",16,6.927,2018,"Belgium",16,1.324,0.894,0.583,"0.240"
"17",17,6.91,2018,"Luxembourg",17,1.576,0.896,0.632,"0.321"
"18",18,6.886,2018,"United States",18,1.398,0.819,0.547,"0.133"
"19",19,6.814,2018,"Israel",19,1.301,0.883,0.533,"0.272"
"20",20,6.774,2018,"United Arab Emirates",20,2.096,0.67,0.284,"N/A"
"21",21,6.711,2018,"Czech Republic",21,1.233,0.854,0.543,"0.034"
"22",22,6.627,2018,"Malta",22,1.27,0.884,0.645,"0.142"
"23",23,6.489,2018,"France",23,1.293,0.908,0.52,"0.176"
"24",24,6.488,2018,"Mexico",24,1.038,0.761,0.479,"0.095"
"25",25,6.476,2018,"Chile",25,1.131,0.808,0.431,"0.061"
"26",26,6.441,2018,"Taiwan",26,1.365,0.857,0.418,"0.078"
"27",27,6.43,2018,"Panama",27,1.112,0.759,0.597,"0.063"
"28",28,6.419,2018,"Brazil",28,0.986,0.675,0.493,"0.088"
"29",29,6.388,2018,"Argentina",29,1.073,0.744,0.57,"0.054"
"30",30,6.382,2018,"Guatemala",30,0.781,0.608,0.604,"0.071"
"31",31,6.379,2018,"Uruguay",31,1.093,0.771,0.625,"0.155"
"32",32,6.374,2018,"Qatar",32,1.649,0.748,0.654,"0.171"
"33",33,6.371,2018,"Saudi Arabia",33,1.379,0.633,0.509,"0.127"
