"","X.1","X","Year","Country","Region","Score","GDP","Life.Expectancy","Freedom","Corruption","Rank"
"1",1,1,2020,"Finland","Western Europe",7.808700085,10.63926697,71.9008255,0.949172199,0.195444584,1
"2",2,2,2020,"Denmark","Western Europe",7.645599842,10.77400112,72.40250397,0.951444268,0.168489456,2
"3",3,3,2020,"Switzerland","Western Europe",7.559899807,10.97993279,74.10244751,0.921336651,0.303728431,3
"4",4,4,2020,"Iceland","Western Europe",7.504499912,10.77255917,73,0.948891878,0.711709738,4
"5",5,5,2020,"Norway","Western Europe",7.487999916,11.08780384,73.20078278,0.955750287,0.263218194,5
"6",6,6,2020,"Netherlands","Western Europe",7.448900223,10.81271172,72.30091858,0.908547819,0.364717126,6
"7",7,7,2020,"Sweden","Western Europe",7.353499889,10.75879383,72.60076904,0.939144194,0.250880182,7
"8",8,8,2020,"New Zealand","North America and ANZ",7.299600124,10.50094318,73.20262909,0.936217487,0.22113885,8
"9",9,9,2020,"Austria","Western Europe",7.294199944,10.7428236,73.00250244,0.899989486,0.499954879,9
"10",10,10,2020,"Luxembourg","Western Europe",7.237500191,11.45068073,72.59999847,0.90563643,0.367084295,10
"11",11,11,2020,"Canada","North America and ANZ",7.23210001,10.69236851,73.60160065,0.933913231,0.390843362,11
"12",12,12,2020,"Australia","North America and ANZ",7.222799778,10.72059631,73.60453796,0.915431738,0.41516912,12
"13",13,13,2020,"United Kingdom","Western Europe",7.164500237,10.60013485,72.30160522,0.834743679,0.435915917,13
"14",14,14,2020,"Israel","Middle East and North Africa",7.128600121,10.41752529,73.20025635,0.747580588,0.78085506,14
"15",15,15,2020,"Costa Rica","Latin America and Caribbean",7.121399879,9.658156395,71.29985046,0.934738934,0.786332428,15
"16",16,16,2020,"Ireland","Western Europe",7.093699932,11.16097832,72.30078888,0.886982977,0.357184172,16
"17",17,17,2020,"Germany","Western Europe",7.075799942,10.7328186,72.20201874,0.867371082,0.456422031,17
"18",18,18,2020,"United States","North America and ANZ",6.939599991,10.92576885,68.29949951,0.842619538,0.699715316,18
"19",19,19,2020,"Czech Republic","Central and Eastern Europe",6.910900116,10.40416336,70.04793549,0.818537354,0.85844624,19
"20",20,20,2020,"Belgium","Western Europe",6.863500118,10.6736393,72.00164795,0.813582063,0.612297952,20
"21",21,21,2020,"United Arab Emirates","Middle East and North Africa",6.790800095,11.1099987,67.08278656,0.941345513,0.594502211,21
"22",22,22,2020,"Malta","Western Europe",6.772799969,10.53383827,72.19999695,0.924911439,0.658547282,22
"23",23,23,2020,"France","Western Europe",6.663799763,10.58422279,73.80193329,0.825467646,0.583521128,23
"24",24,24,2020,"Mexico","Latin America and Caribbean",6.465000153,9.797797203,68.29902649,0.858709276,0.806821585,24
"25",25,25,2020,"Taiwan","East Asia",6.45539999,10.77568531,69.59999847,0.77153033,0.73188293,25
"26",26,26,2020,"Uruguay","Latin America and Caribbean",6.440100193,9.948192596,69.00254822,0.892395437,0.635994136,26
"27",27,27,2020,"Saudi Arabia","Middle East and North Africa",6.406499863,10.79781246,66.30514526,0.854191244,0.682619512,27
"28",28,28,2020,"Spain","Western Europe",6.400899887,10.46292686,74.40270996,0.751989543,0.765859902,28
"29",29,29,2020,"Guatemala","Latin America and Caribbean",6.398900032,8.924805641,64.8089447,0.908147573,0.783237457,29
"30",30,30,2020,"Italy","Western Europe",6.38740015,10.48183632,73.60168457,0.66465199,0.873404682,30
"31",31,31,2020,"Singapore","Southeast Asia",6.377099991,11.39552116,76.80458069,0.926645339,0.109784193,31
"32",32,32,2020,"Brazil","Latin America and Caribbean",6.375599861,9.56643486,66.48016357,0.799804807,0.770601273,32
"33",33,33,2020,"Slovenia","Central and Eastern Europe",6.363399982,10.39232254,71.1029892,0.936142623,0.817071021,33
"34",34,34,2020,"El Salvador","Latin America and Caribbean",6.34829998,8.909075737,66.10826111,0.833805263,0.754319906,34
"35",35,35,2020,"Kosovo","Central and Eastern Europe",6.325200081,9.204429626,63.88555527,0.861535907,0.922328293,35
"36",36,36,2020,"Panama","Latin America and Caribbean",6.304800034,10.03423405,69.60301208,0.880366504,0.851588905,36
"37",37,37,2020,"Slovakia","Central and Eastern Europe",6.280600071,10.34774971,68.90634155,0.749952674,0.918096125,37
