"","Country","Region","Freedom","Year","Score","GDP","Life.Expectancy","Corruption","Rank"
"1","Singapore","Southeastern Asia",0.54252,2015,6.798,1.52186,1.02525,0.4921,1
"2","Thailand","Southeastern Asia",0.55664,2015,6.455,0.9669,0.7385,0.03187,2
"3","Malaysia","Southeastern Asia",0.53024,2015,5.77,1.12486,0.72394,0.10501,3
"4","Indonesia","Southeastern Asia",0.46611,2015,5.399,0.82827,0.63793,0,4
"5","Vietnam","Southeastern Asia",0.59444,2015,5.36,0.63216,0.74676,0.10441,5
"6","Philippines","Southeastern Asia",0.62545,2015,5.073,0.70532,0.58114,0.12279,6
"7","Laos","Southeastern Asia",0.59591,2015,4.876,0.59066,0.54909,0.24249,7
"8","Myanmar","Southeastern Asia",0.44017,2015,4.307,0.27108,0.48246,0.19034,8
"9","Cambodia","Southeastern Asia",0.66246,2015,3.819,0.46038,0.61114,0.07247,9
"10","Singapore","Southeastern Asia",0.4877,2016,6.739,1.64555,0.94719,0.46987,1
"11","Thailand","Southeastern Asia",0.49553,2016,6.474,1.0893,0.64915,0.02833,2
"12","Malaysia","Southeastern Asia",0.39031,2016,6.005,1.25142,0.62366,0.09081,3
"13","Indonesia","Southeastern Asia",0.39237,2016,5.314,0.95104,0.49374,0.00322,4
"14","Philippines","Southeastern Asia",0.54854,2016,5.279,0.81217,0.47036,0.11757,5
"15","Vietnam","Southeastern Asia",0.55954,2016,5.061,0.74037,0.66157,0.11556,6
"16","Laos","Southeastern Asia",0.52168,2016,4.876,0.68042,0.38291,0.22423,7
"17","Myanmar","Southeastern Asia",0.42692,2016,4.395,0.34112,0.3988,0.20243,8
"18","Cambodia","Southeastern Asia",0.58852,2016,3.907,0.55604,0.42494,0.08092,9
"19","Singapore",NA,0.549840569496155,2017,6.57200002670288,1.69227766990662,0.949492394924164,0.46430778503418,1
"20","Thailand",NA,0.580200731754303,2017,6.42399978637695,1.12786877155304,0.647239029407501,0.0316127352416515,2
"21","Malaysia",NA,0.402264982461929,2017,6.08400011062622,1.29121541976929,0.618784427642822,0.0656007081270218,3
"22","Philippines",NA,0.585214674472809,2017,5.42999982833862,0.85769921541214,0.468009054660797,0.0993318930268288,4
"23","Indonesia",NA,0.443323463201523,2017,5.26200008392334,0.995538592338562,0.492345720529556,0.0153171354904771,5
"24","Vietnam",NA,0.571055591106415,2017,5.07399988174438,0.788547575473785,0.652168989181519,0.0876332372426987,6
"25","Myanmar",NA,0.514492034912109,2017,4.54500007629395,0.367110550403595,0.397522568702698,0.188816204667091,7
"26","Cambodia",NA,0.633375823497772,2017,4.16800022125244,0.601765096187592,0.429783403873444,0.0681059509515762,8
"27","Singapore",NA,0.631,2018,6.343,1.529,1.008,110,1
"28","Malaysia",NA,0.356,2018,6.322,1.161,0.669,34,2
"29","Thailand",NA,0.637,2018,6.072,1.016,0.707,14,3
"30","Philippines",NA,0.643,2018,5.524,0.775,0.513,62,4
"31","Vietnam",NA,0.618,2018,5.103,0.715,0.702,47,5
"32","Indonesia",NA,0.538,2018,5.093,0.899,0.522,8,6
"33","Laos",NA,0.626,2018,4.623,0.72,0.441,88,7
"34","Cambodia",NA,0.696,2018,4.433,0.549,0.457,39,8
"35","Myanmar",NA,0.58,2018,4.308,0.682,0.429,90,9
"36","Singapore",NA,0.556,2019,6.262,1.572,1.141,0.453,1
"37","Thailand",NA,0.557,2019,6.008,1.05,0.828,0.028,2
"38","Philippines",NA,0.558,2019,5.631,0.807,0.657,0.107,3
"39","Malaysia",NA,0.508,2019,5.339,1.221,0.828,0.024,4
"40","Indonesia",NA,0.491,2019,5.192,0.931,0.66,0.028,5
"41","Vietnam",NA,0.543,2019,5.175,0.741,0.851,0.073,6
"42","Laos",NA,0.547,2019,4.796,0.764,0.551,0.164,7
"43","Cambodia",NA,0.609,2019,4.7,0.574,0.637,0.062,8
"44","Myanmar",NA,0.525,2019,4.36,0.71,0.555,0.172,9
"45","Singapore","Southeast Asia",0.926645339,2020,6.377099991,11.39552116,76.80458069,0.109784193,1
"46","Philippines","Southeast Asia",0.915463448,2020,6.006000042,8.993545532,61.92676163,0.733634114,2
"47","Thailand","Southeast Asia",0.905063033,2020,5.998799801,9.741791725,67.25059509,0.886272311,3
"48","Malaysia","Southeast Asia",0.894626856,2020,5.384300232,10.26251888,67.10215759,0.839302301,4
"49","Vietnam","Southeast Asia",0.939592957,2020,5.353499889,8.809545517,67.9527359,0.79642123,5
"50","Indonesia","Southeast Asia",0.870614409,2020,5.285600185,9.36975193,62.15584946,0.876296401,6
"51","Laos","Southeast Asia",0.907213569,2020,4.888599873,8.79858017,58.70992279,0.634679317,7
"52","Cambodia","Southeast Asia",0.959704638,2020,4.848400116,8.249890327,61.52996826,0.822769046,8
"53","Myanmar","Southeast Asia",0.895075202,2020,4.308000088,8.680481911,58.96171188,0.645124316,9
